Faison,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA,"AE 1000NX - 1, AC Power","AE 1000NX - 2, AC Power",Production meter active power
,W/m²,kW,kW,kW
2024-03-09 05:00:00,0,0,0,-5.024513
2024-03-09 06:00:00,0,0.00827206,0,-8.775849
2024-03-09 07:00:00,0,25.24912,0,15.65992
2024-03-09 08:00:00,0,38.32732,0,28.81815
2024-03-09 09:00:00,2.402329,45.64237,0,36.1463
2024-03-09 10:00:00,52.51456,50.19304,0,40.65961
2024-03-09 11:00:00,65.60086,76.09426,0,66.74453
2024-03-09 12:00:00,56.50691,65.90388,0,56.60033
2024-03-09 13:00:00,197.8201,212.9764,0,206.1983
2024-03-09 14:00:00,128.5382,131.1324,0,123.7341
2024-03-09 15:00:00,57.02335,52.0556,0,42.44012
2024-03-09 16:00:00,34.78497,26.98142,0,17.17573
2024-03-09 17:00:00,26.15684,19.7849,0,10.28414
2024-03-09 18:00:00,2.31078,0.5916585,0,-7.3996
2024-03-09 19:00:00,0,0,0,-5.05759
2024-03-09 20:00:00,0.008305555,0,0,-5.088758
2024-03-09 21:00:00,0.01495833,0,0,-5.121402
2024-03-09 22:00:00,1.071306,0,0,-5.078928
2024-03-09 23:00:00,0.9813473,0,0,-5.098494
2024-03-10 00:00:00,0.7431667,0,0,-5.099515
2024-03-10 01:00:00,0.2646528,0,0,-5.113287
2024-03-10 03:00:00,0,0,0,-5.111233
2024-03-10 04:00:00,0,0,0,-5.110715
2024-03-10 05:00:00,0,0,0,-5.11787
2024-03-10 06:00:00,0,0,0,-5.102071
2024-03-10 07:00:00,0,6.943405,0,-0.1719422
2024-03-10 08:00:00,24.31985,106.1216,0,100.1252
2024-03-10 09:00:00,435.617,440.7069,0,436.0214
2024-03-10 10:00:00,672.8693,671.1531,545.6508,1213.01
2024-03-10 11:00:00,859.0129,828.4673,758.6572,1582.109
2024-03-10 12:00:00,974.4614,919.7282,842.9293,1756.062
2024-03-10 13:00:00,1008.794,940.2361,860.115,1793.557
2024-03-10 14:00:00,964.2391,898.4257,822.0844,1713.654
2024-03-10 15:00:00,839.7949,792.7668,723.8128,1510.48
2024-03-10 16:00:00,645.4733,618.9924,562.7903,1176.228
2024-03-10 17:00:00,402.1223,379.164,342.3863,715.3356
2024-03-10 18:00:00,151.4624,116.3627,103.8027,211.3814
2024-03-10 19:00:00,30.388,2.475457,2.196846,-4.136959
2024-03-10 20:00:00,0,0,0,-4.915448
2024-03-10 21:00:00,0,0,0,-4.945284
2024-03-10 22:00:00,0,0,0,-4.941261
2024-03-10 23:00:00,0,0,0,-4.959033
2024-03-11 00:00:00,0,0,0,-4.976202
2024-03-11 01:00:00,0,0,0,-4.958672
2024-03-11 02:00:00,0,0,0,-4.948132
2024-03-11 03:00:00,0,0,0,-4.940476
2024-03-11 04:00:00,0,0,0,-4.903528
2024-03-11 05:00:00,0,0,0,-4.947295
2024-03-11 06:00:00,0,0,0,-4.96567
2024-03-11 07:00:00,0,11.51379,10.73288,12.81804
2024-03-11 08:00:00,15.28098,175.7556,160.8082,330.476
2024-03-11 09:00:00,439.8854,456.8968,417.6549,870.795
2024-03-11 10:00:00,681.8035,692.5558,633.6265,1323.283
2024-03-11 11:00:00,868.6952,849.2755,777.0547,1622.231
2024-03-11 12:00:00,982.6983,931.6667,852.7582,1778.38
2024-03-11 13:00:00,1017.464,947.022,868.9634,1808.337
2024-03-11 14:00:00,971.9758,904.8837,826.7548,1726.711
2024-03-11 15:00:00,836.4442,793.6984,724.1127,1513.928
2024-03-11 16:00:00,656.901,623.8633,566.6104,1185.094
2024-03-11 17:00:00,408.6284,383.959,347.0792,724.7595
2024-03-11 18:00:00,152.3515,118.6894,105.966,215.6806
2024-03-11 19:00:00,9.902361,3.161494,2.656215,-3.105695
2024-03-11 20:00:00,0,0,0,-4.893926
2024-03-11 21:00:00,0,0,0,-4.904788
2024-03-11 22:00:00,0,0,0,-4.94179
2024-03-11 23:00:00,0,0,0,-4.961336
2024-03-12 00:00:00,0,0,0,-4.985214
2024-03-12 01:00:00,0,0,0,-4.975761
2024-03-12 02:00:00,0,0,0,-5.040728
2024-03-12 03:00:00,0,0,0,-5.080494
2024-03-12 04:00:00,0,0,0,-5.018115
2024-03-12 05:00:00,0,0,0,-4.935925
2024-03-12 06:00:00,0,0,0,-5.013823
2024-03-12 07:00:00,13.8075,15.37833,14.34602,20.3084
2024-03-12 08:00:00,179.7911,184.5041,168.9351,346.9637
2024-03-12 09:00:00,429.2497,442.0058,404.8159,842.9744
2024-03-12 10:00:00,651.9259,653.4453,599.5873,1249.091
2024-03-12 11:00:00,844.4306,800.86,735.2463,1531.127
2024-03-12 12:00:00,972.3796,882.357,809.7557,1685.446
2024-03-12 13:00:00,1005.707,896.1043,822.6399,1711.937
2024-03-12 14:00:00,961.3239,855.2091,784.5425,1632.926
2024-03-12 15:00:00,825.9294,752.1486,688.2543,1434.312
2024-03-12 16:00:00,632.9319,585.4479,533.4314,1112.625
2024-03-12 17:00:00,389.0355,358.4437,324.9114,676.3481
2024-03-12 18:00:00,143.4316,109.1264,97.75642,197.9955
2024-03-12 19:00:00,5.533757,2.196645,1.93512,-4.650381
2024-03-12 20:00:00,0,0,0,-4.942331
2024-03-12 21:00:00,0,0,0,-4.981297
2024-03-12 22:00:00,0,0,0,-5.002779
2024-03-12 23:00:00,0,0,0,-5.047341
2024-03-13 00:00:00,0,0,0,-5.103046
2024-03-13 01:00:00,0,0,0,-5.124513
2024-03-13 02:00:00,0,0,0,-5.107142
2024-03-13 03:00:00,0,0,0,-4.988826
2024-03-13 04:00:00,0,0,0,-4.917719
2024-03-13 05:00:00,0,0,0,-4.948392
2024-03-13 06:00:00,0,0,0,-4.924819
2024-03-13 07:00:00,14.47349,13.33398,12.2803,16.08265
2024-03-13 08:00:00,176.8724,172.6669,157.7367,323.9111
2024-03-13 09:00:00,411.0876,415.9001,380.4897,792.3718
2024-03-13 10:00:00,648.5172,622.5865,571.3879,1189.646
2024-03-13 11:00:00,814.1527,749.4912,688.7967,1433.489
2024-03-13 12:00:00,928.9905,820.5391,752.8605,1566.822
2024-03-13 13:00:00,971.264,841.9106,772.5105,1608.858
2024-03-13 14:00:00,915.8514,809.4313,742.0344,1546.257
2024-03-13 15:00:00,795.5609,707.3569,646.6584,1342.724
2024-03-13 16:00:00,589.5252,541.9122,493.7525,1028.722
2024-03-13 17:00:00,357.0051,318.7426,288.6575,600.5515
2024-03-13 18:00:00,127.7593,95.89014,86.19015,172.9045
2024-03-13 19:00:00,6.355377,2.536799,2.292078,-4.030423
2024-03-13 20:00:00,0,0,0,-5.011569
2024-03-13 21:00:00,0,0,0,-5.05409
2024-03-13 22:00:00,0,0,0,-5.09831
2024-03-13 23:00:00,0,0,0,-5.078668
2024-03-14 00:00:00,0,0,0,-5.05933
2024-03-14 01:00:00,0,0,0,-5.091796
2024-03-14 02:00:00,0,0,0,-5.096615
2024-03-14 03:00:00,0,0,0,-5.078257
2024-03-14 04:00:00,0,0,0,-5.031319
2024-03-14 05:00:00,0,0,0,-4.976055
2024-03-14 06:00:00,0,0,0,-5.230303
2024-03-14 07:00:00,14.63643,13.52442,12.31581,16.29053
2024-03-14 08:00:00,167.1492,162.3102,148.3867,305.39
2024-03-14 09:00:00,407.0209,408.5334,373.5665,777.8356
2024-03-14 10:00:00,639.3813,605.8789,556.6895,1158.288
2024-03-14 11:00:00,810.0764,729.1852,671.8433,1397.565
2024-03-14 12:00:00,946.8256,816.3784,748.313,1558.132
2024-03-14 13:00:00,962.9871,833.9081,766.0466,1594.55
2024-03-14 14:00:00,924.5219,798.954,731.8286,1523.875
2024-03-14 15:00:00,787.8032,698.8674,638.4307,1330.679
2024-03-14 16:00:00,605.1177,546.0146,496.5223,1035.982
2024-03-14 17:00:00,367.2226,324.9806,294.0764,611.6021
2024-03-14 18:00:00,128.5751,95.90225,85.88642,172.5428
2024-03-14 19:00:00,6.944581,2.925355,2.759355,-3.184736
2024-03-14 20:00:00,0,0,0,-5.047448
